lr-Adadelta,step,train_loss,train/struct_loss,epoch,val_loss,val/struct_loss,val_ExpRate
1.0,0,,,,,,
,0,5.015625,0.6833648681640625,0,,,
1.0,1,,,,,,
,1,,,1,3.7403564453125,0.561309814453125,0.0
,1,1.8049163818359375,0.5783233642578125,1,,,
1.0,2,,,,,,
,2,3.4698944091796875,0.5063323974609375,2,,,
1.0,3,,,,,,
,3,,,3,1.4252452850341797,0.12091827392578125,0.75
,3,2.1019973754882812,0.36479949951171875,3,,,
1.0,4,,,,,,
,4,1.1968841552734375,0.05992317199707031,4,,,
1.0,5,,,,,,
,5,,,5,3.3372573852539062,0.434844970703125,0.0
,5,1.5263051986694336,0.01168203353881836,5,,,
1.0,6,,,,,,
,6,3.0395431518554688,0.385345458984375,6,,,
1.0,7,,,,,,
,7,,,7,2.6287269592285156,0.28839111328125,0.0
,7,2.403491973876953,0.25994873046875,7,,,
1.0,8,,,,,,
,8,2.5195140838623047,0.2938365936279297,8,,,
1.0,9,,,,,,
,9,,,9,0.9984588623046875,0.040193796157836914,0.75
,9,1.3954963684082031,0.016078464686870575,9,,,
1.0,10,,,,,,
,10,0.8656082153320312,0.07078662514686584,10,,,
1.0,11,,,,,,
,11,,,11,1.1316757202148438,0.017384111881256104,0.0
,11,0.7602033615112305,0.00025878846645355225,11,,,
1.0,12,,,,,,
,12,1.0653858184814453,0.004073180258274078,12,,,
1.0,13,,,,,,
,13,,,13,1.8693370819091797,0.07705602049827576,0.0
,13,1.648355484008789,0.25470399856567383,13,,,
1.0,14,,,,,,
,14,1.348062515258789,0.12773698568344116,14,,,
1.0,15,,,,,,
,15,,,15,1.062211036682129,3.2335519790649414e-06,0.75
,15,0.8703193664550781,0.008315056562423706,15,,,
1.0,16,,,,,,
,16,0.5148382186889648,7.528066635131836e-05,16,,,
1.0,17,,,,,,
,17,,,17,1.773160696029663,0.0015228986740112305,0.0
,17,0.6237363815307617,0.0001617223024368286,17,,,
1.0,18,,,,,,
,18,0.9581055641174316,0.001766197383403778,18,,,
1.0,19,,,,,,
,19,,,19,1.3495354652404785,0.00012365728616714478,0.75
,19,0.6621646881103516,0.07836448401212692,19,,,
1.0,20,,,,,,
,20,0.44974851608276367,0.0016272962093353271,20,,,
1.0,21,,,,,,
,21,,,21,0.8331232070922852,3.0249357223510742e-06,0.75
,21,0.24059152603149414,1.1026859283447266e-05,21,,,
1.0,22,,,,,,
,22,0.12261772155761719,4.2028725147247314e-05,22,,,
1.0,23,,,,,,
,23,,,23,0.817162036895752,5.207955837249756e-06,0.75
,23,0.08548212051391602,5.0008296966552734e-05,23,,,
1.0,24,,,,,,
,24,0.05740976333618164,7.560104131698608e-05,24,,,
1.0,25,,,,,,
,25,,,25,0.8367495536804199,5.3122639656066895e-06,0.75
,25,0.06044721603393555,6.182491779327393e-05,25,,,
1.0,26,,,,,,
